id,kel_jabatan_id,nama,status_aktif
307,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ETIKA KEPUSTAKAWANAN,1
308,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ETIKA KRISTEN,1
309,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ETIKA PROFESI,1
310,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ETNOBOTANI,1
311,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EVALUASI PEMBELAJARAN,1
312,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EVALUASI PEMBELAJARAN BIOLOGI,1
313,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EVALUASI PENDAMPINGAN PASTORAL,1
314,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EVALUASI PENDIDIKAN,1
315,A5EB03E23DD1F6A0E040640A040252AD,DOSEN EVALUASI PROGRAM STUDI,1
316,A5EB03E23DD1F6A0E040640A040252AD,DOSEN FALAQ,1
317,A5EB03E23DD1F6A0E040640A040252AD,DOSEN FARMASETIKA,1
318,A5EB03E23DD1F6A0E040640A040252AD,DOSEN FARMASI,1
319,A5EB03E23DD1F6A0E040640A040252AD,DOSEN FENOMENOLOGI AGAMA,1
320,A5EB03E23DD1F6A0E040640A040252AD,DOSEN FILOLOGI (STUDI MANUSKRIP),1
