id,nama,status
513,LSP P1 SMKN 40 JAKARTA,1
514,LSP P1 SMKN 5 BATAM,1
515,LSP P1 SMKN 6 KOTA BEKASI,1
516,LSP P1 SMKN 7 JAKARTA,1
517,LSP P1 SMKN 7 KAB. TANGERANG,1
518,LSP P1 SMKN 8 SURABAYA,1
519,LSP P1 SMKN REA TIMUR,1
520,LSP P1 SMKN1 PROBOLINGGO,1
521,LSP P1 SMKS BINA ISLAM MANDIRI KERSANA,1
522,LSP P1 SMKS FARMASI YAMASI MAKASSAR,1
523,LSP P1 STIE GANESHA,1
524,LSP P1 STIE MALANGKUCECWARA,1
525,LSP P1 STP TRISAKTI,1
526,LSP P1 STTD,1
527,LSP P1 UNIVERSITAS ALMA ATA,1
528,LSP P1 UNIVERSITAS IVET,1
529,LSP P1 UNIVERSITAS MUHAMMADIYAH METRO,1
530,LSP P1 UNIVERSITAS PGRI SEMARANG,1
531,LSP P1 UNPAS BANDUNG,1
532,LSP P1 UNTAG SURABAYA,1
533,LSP P1-SMAKBO,1
534,LSP P2 BBPPMPV BISNIS DAN PARIWISATA,1
535,LSP P2 BBPVP MEDAN,1
536,LSP P2 BLK BANDA ACEH,1
537,LSP P2 BPVP SURAKARTA,1
538,LSP P2 DINAS PENDIDIKAN PROVINSI SUMATERA BARAT,1
